Reference, Quantity, Value, Footprint, Datasheet
C2 ,1,"100uF_50V","Capacitor_SMD:CP_Elec_10x10.5","~"
C3 ,1,"220uF_35V","Capacitor_SMD:CP_Elec_8x10.5","~"
C1 C4 ,2,"100p","Capacitor_SMD:C_0805_2012Metric","~"
C5 ,1,"22u","Capacitor_SMD:CP_Elec_5x5.4","~"
C6 ,1,"0.1u","Capacitor_SMD:C_0805_2012Metric","~"
D1 D2 D5 ,3,"LED","LED_SMD:LED_0603_1608Metric","~"
D4 ,1,"B340","Diode_SMD:D_SMC","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf"
J1 ,1,"Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J2 ,1,"RPi_GPIO","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
J3 ,1,"Power","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
L1 ,1,"68uH","Inductor_SMD:L_Bourns_SRR1210A","~"
R1 R2 R4 ,3,"1k","Resistor_SMD:R_0805_2012Metric","~"
R3 ,1,"10k","Resistor_SMD:R_0805_2012Metric","~"
SW1 ,1,"BSL","Button_Switch_SMD:SW_SPST_B3U-1000P","~"
SW2 ,1,"RST","Button_Switch_SMD:SW_SPST_B3U-1000P","~"
U1 ,1,"LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
U2 ,1,"AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
U3 ,1,"RF-BM-2652P2","Zigbee:RF-BM-2652",""